,title,company_name,location,salary_avg,salary_min,salary_max
5574,Lead Data Science Analyst,Discover Financial Services,United States,,,
5578,Data Analyst,Gierd,United States,,,
5586,Data Integration Analyst,Gainwell Technologies,United States,,,
5589,Data Analyst,Grid,United States,,,
5591,Data Analyst,Insight Global,United States,,,
5595,Junior Data Analyst,Diligente Technologies,United States,,,
5596,Junior Data Analyst,Diligente Technologies,United States,,,
5613,Senior Data Analyst - Marketing,Deluxe,United States,,,
5616,"Sr Data Analyst, Global Sourcing",3M,United States,,,
5618,Business System Data Analyst,S&P Global Commodity Insights,United States,,,
5630,FP&A Business Analyst,Addison Group,United States,,,
5636,Data Engineer,Urbane Systems LLC,United States,,,
5638,Business Intelligence Analyst,Book of the Month,United States,,,
5639,Business Intelligence Analyst,The Fresh Market,United States,,,
5640,Business Intelligence Analyst,Allied OneSource,"Olathe, KS",,,
5644,Data Analyst / Developer #1999032,State of Missouri,"Jefferson City, MO",,,
5646,Data Analyst,American Technology Consulting - ATC,United States,,,
5653,Performance Data Analyst,Blue Cross and Blue Shield of Kansas,"Topeka, KS",,,
5658,Marketing Data Analytics,KPI Partners,United States,,,
5659,Business Intelligence Analyst,Spira Care,"Kansas City, MO",,,
5664,Data Analyst - Financial Compliance,StoneX Group Inc.,United States,,,
5670,Data Analyst - Dallas,Atmos Energy,"Lincoln, MO",,,
5672,Data Analyst,Blue Ocean Ventures,United States,,,
5673,Data Analyst,Financial Services Client,United States,,,
5679,Data Analyst I,TreviPay,"Overland Park, KS",,,
5681,Healthcare Data Analyst,Insight Global,United States,72500.0,65000.0,80000.0
5685,Business Data Analyst,Hudson Technologies,United States,,,
5691,"Senior Data Analyst - Part-Time, Alpha - an EDU Startup ...",Crossover,"Kansas City, KS",,,
5692,Sr Data Analyst / Team Lead,Atria Wealth Solutions,United States,,,
5694,Sr. Business Data Analyst-State Tax,Koch Industries,"Wichita, KS",,,
5696,Senior Customer Data Analyst,Medical Mutual,United States,,,
5700,Data Migration Analyst,Tata Consultancy Services,"Topeka, KS",,,
5709,Big Data Lead,Hexaware Technologies,United States,,,
5715,Data Engineer,Devfi,United States,,,
5720,Senior Business Intelligence Analyst,TBS Factoring Service,Oklahoma,,,
5724,Data Analyst - Intermediate (Non-IT),Citizens Property Insurance Corporation,United States,,,
5730,Provider Data Maintenance Specialist,"Blue Cross and Blue Shield of Illinois, Montana, New Mexico, Oklahoma & Texas",United States,,,
5736,EMS Data Analyst,O'Reilly Auto Parts,"Springfield, MO",,,
5744,Business Data Analyst,Addison Group,"Oklahoma City, OK",,,
5751,Business Analyst / Data Analyst,Iris Software Inc.,United States,,,
5757,Business Data Analyst - III,Experis,United States,,,
5761,"Data Analyst, M & E (Systems Analyst), Correctional Health Services",NYC Health + HospitalsData,United States,50000.0,45000.0,55000.0
5765,Legal Data Analyst,QTS Data Centers,"Overland Park, KS",,,
5767,Big Data Analyst,Elevance Health,"Springfield, MO",,,
5768,Customer Service Data Analyst,OmniForce Solutions,United States,,,
5769,Sr. Digital Marketing Analytics Data Analyst - Remote Position,Caterpillar Inc.,United States,,,
5770,Lead Data Analyst,"New Relic, Inc.","Kansas City, MO",,,
5771,Stategy Analyst (Data),Addison Group,"Tulsa, OK",,,
5773,"Associate Manager, Data Analytics",OMD USA,United States,,,
5777,Data Scientist (Strong experience using R for complex data...,Eclaro,United States,,,
5780,Data Governance Lead,Apexon,United States,,,
5788,Business/Data Analyst,Vertex Solutions Inc.,United States,,,
5793,IT Data Analyst Intern - PMO,Commerce Bank,"Kansas City, MO",,,
5796,Data Analyst,American Technology Consulting - ATC,United States,,,
5797,"Data Analyst, Strategic Operations","PLBY Group, Inc.",United States,90000.0,80000.0,100000.0
5810,"Data Analyst, I II or III",Jobot,"Bartlesville, OK",,,
5816,Business Data Analyst,Addison Group,"Oklahoma City, OK",,,
5819,Data Analyst,Elsdon Consulting ltd,United States,,,
5821,Data Analyst,BCforward,United States,,,
5824,Senior Data Analyst,Stealth Mode,United States,,,
5827,Data Analyst,Insight Global,Oklahoma,20.5,18.0,23.0
5836,Services Sales Operations Data Analyst,Lenovo,United States,,,
5837,SENIOR SUPPLY CHAIN DATA ANALYST,Scripps Research,United States,,,
5839,Informatics Data Governance Analyst,Florida Cancer Specialists & Research Institute,United States,,,
5842,Stategy Analyst (Data),Addison Group,"Tulsa, OK",,,
5852,Data Analyst,"Logic20/20, Inc.","Overland Park, KS",,,
5853,Business Intelligence Analyst,Allied OneSource,"Olathe, KS",,,
5859,Business Intelligence Data Analyst,Acumed,United States,,,
5860,Data Analyst / Developer #1999032,State of Missouri,"Jefferson City, MO",,,
5864,Data Analyst,American Technology Consulting - ATC,United States,,,
5872,Data Governance Analyst,Honeywell,"Overland Park, KS",,,
5879,"Director, Reporting & Analysis",Veeam Software,"Jefferson City, MO",,,
5885,Data Analyst,Infinite Computer Solutions,United States,,,
5886,Junior Data Analyst,Benefitfocus,"Tulsa, OK",,,
5887,Junior Data Analyst,Benefitfocus,"Tulsa, OK",,,
5889,Business Data Analyst,Addison Group,"Oklahoma City, OK",,,
5903,Business Data Analyst,BrainWorks,United States,,,
5911,Inventory Data Analyst,FULLBEAUTY Brands,United States,20.4,19.0,21.8
5915,Services Sales Operations Data Analyst -Remote,Lenovo,United States,,,
5917,Stategy Analyst (Data),Addison Group,"Tulsa, OK",,,
5918,Sr. Data Quality/Data Governance Analyst,Infinite Computer Solutions,United States,,,
5919,Lead Data Management Analyst - Pilot,Experis,United States,,,
5922,Data Scientist,Selby Jennings,United States,187500.0,150000.0,225000.0
5923,Sr Business Mgmt Analyst (US) - Data Analytics,TD,United States,,,
5924,Business Intelligence Analyst,Allied OneSource,"Olathe, KS",,,
5925,Analyst,Tunnl,United States,,,
5926,Senior Data Analyst,Store No. 8,"Bentonville, AR",,,
5929,Senior Data Analyst,SAE International,United States,,,
5930,Senior Data Analyst,Optoro,United States,,,
5937,"Software Engineer, Data",C2R Ventures,United States,187500.0,125000.0,250000.0
5939,Senior Data Analyst,H&R Block,"Kansas City, MO",,,
5940,"Data Analyst, I II or III",Jobot,"Bartlesville, OK",,,
5944,Data Analyst,Precise Solutions,United States,,,
5945,Business Data Analyst,Addison Group,"Oklahoma City, OK",,,
5951,1182950 Data Analyst,Enterprise Solutions Inc.,United States,,,
5952,Senior Data Analyst,Ingenio,United States,110000.0,70000.0,150000.0
5953,Data Analyst,BCforward,United States,,,
5963,Data Analyst,Lockton Affinity,"Overland Park, KS",,,
5968,Data & Reporting Analyst Principal,Allianz Technology,United States,,,
5969,Data Governance Analyst,"Aroghia Group, LLC",United States,,,
5970,Data Management Analyst Co-Op,Koch Industries,"Wichita, KS",,,
5971,Big Data Lead,Hexaware Technologies,United States,,,
5972,Big Data Lead,Hexaware Technologies,United States,,,
5973,MIDA Electronic Data Exchange Analyst,State of Colorado,United States,,,
5976,Business Intelligence Analyst,Vertisystem,United States,106.5,100.0,113.0
5977,Data Analyst Internship (Summer 2023),Seagate Technology,"Oklahoma City, OK",,,
5978,Azure Data Factory,IT America Inc,United States,,,
5979,Data Integration Lead,Hexaware Technologies,United States,,,
5981,Data Engineer,KNG Group LLC.,United States,,,
5984,"Alpha Data Operation Senior Specialist, Senior Associate",State Street,"Kansas City, MO",,,
5986,Data Analyst(onsite),Diligente Technologies,United States,,,
5988,"Sales & Data Analyst, Media & Experiential",Unibail-Rodamco-Westfield,United States,82500.0,75000.0,90000.0
5989,"Senior Associate, Data Analyst",KPMG US,"Bentonville, AR",,,
5991,Data Analyst,Mountain America Credit Union,United States,,,
5992,Data Analyst,"LanceSoft, Inc.",United States,,,
6001,Electrical Data Analyst,Herzig Engineering,"Kansas City, MO",,,
6004,Senior Data Analyst,Cherokee Nation Businesses,"Tulsa, OK",,,
6005,Business Data Analyst,Insight Global,United States,,,
6007,Data Analyst Intern - R3895-2603,"Chickasaw Nation Industries, Inc.","Lone Grove, OK",,,
6008,Sr. Operations Data Analyst,Paycom,"Oklahoma City, OK",,,
6010,"Data Analyst, Financial Services",The Horizon Group,United States,95000.0,90000.0,100000.0
6020,Data Quality Analyst,Tyson Foods,"Springdale, AR",,,
6022,Data Quality Analyst,The Crox Group,United States,75.0,70.0,80.0
6023,Data Analyst / Marketing Analyst,Dice,"Bentonville, AR",,,
6028,Data Analyst,Tata Consultancy Services,"Bentonville, AR",,,
6041,"Alpha Data Operation Senior Specialist, Senior Associate",State Street,Missouri,,,
6044,Business Intelligence Analyst,Robert Half,United States,115000.0,100000.0,130000.0
6054,Data Analyst UM Evaluations,Gainwell Technologies,United States,,,
6058,"Senior Associate, Data Analyst",KPMG US,"Kansas City, MO",,,
6060,Senior FRM Analyst – Actuarial or Data Scientist,Aegon,"Home, KS",,,
6061,Data Governance Analyst,City National Bank,United States,,,
6071,Data Analyst,Koch Industries,"Wichita, KS",,,
6075,Data Analyst (Mid),Experis,United States,,,
6077,Business Data Analyst,Addison Group,"Oklahoma City, OK",,,
6080,Data Analyst,American Technology Consulting - ATC,United States,,,
6089,Data Analyst Consultant,MI-GSO | PCUBED,United States,,,
6091,Sr. Data Analyst,1872 Consulting,United States,135000.0,130000.0,140000.0
6092,"Data Analyst(Actimize, Bank Secrecy Act)",Numentica LLC,United States,,,
6094,Data Analyst / Big Data QA,Veracity Software Inc,United States,,,
6096,Credit Risk & Data Analyst,Seacoast Bank,United States,,,
6097,Senior Data Analyst with Security Clearance,ClearanceJobs,United States,,,
6099,Flight Data Analyst with Security Clearance,ClearanceJobs,United States,,,
6102,Data Management Analyst (AHT),Northrop Grumman,"Leavenworth, KS",,,
6106,Data Scientist,"Agile Resources, Inc.",United States,58.0,53.0,63.0
6108,Senior Business Intelligence Analyst,Agility Partners,United States,161000.0,156000.0,166000.0
6113,Data Analyst Internship (Summer 2023),Seagate Technology,"Oklahoma City, OK",,,
6116,Stategy Analyst (Data),Addison Group,"Tulsa, OK",,,
6118,Data Onboarding Analyst,S&P Global,United States,,,
6120,Senior Data Analyst,Oracle,"Kansas City, MO",,,
6124,Sr. Analyst - Business Analytics,Ally,United States,,,
6129,Accounting Data Analyst,Koch Industries,"Wichita, KS",,,
6130,ENTRY LEVEL DATA ANALYST,SynergisticIT,United States,,,
6135,Business Data Analyst,Addison Group,"Oklahoma City, OK",,,
6143,Hydraulic Data Analyst,"JARBO Employment Group, LLC",Missouri,,,
6148,Clinical Data Custodian and Analyst,Community Health Systems,"Springdale, AR",,,
6150,Senior Marketing Data Analyst,It's A Secret Med Spa,United States,,,
6152,Cattle Data Business Information Analyst,Cargill,"Wichita, KS",,,
6157,Data Management Analyst,The TCW Group,United States,,,
6159,Data Quality Assurance Lead,Cambay Consulting LLC,United States,,,
6161,Master Data & Analytics Specialist,Market Performance Group,United States,,,
6162,Data Integration Lead,Hexaware Technologies,United States,,,
6163,Data Analyst(onsite),Diligente Technologies,United States,,,
6165,Data Scientist,RiVi Consulting Group L.L.C,United States,,,
6169,Business Intelligence Analyst II (SQL Developer),PRECISIONxtract,"Bentonville, AR",,,
6170,Business Intelligence Analyst,Allied OneSource,"Olathe, KS",,,
6172,Senior Data Analyst,Store No. 8,"Bentonville, AR",,,
6173,Senior Business Analyst- Marketing,WP Engine,United States,,,
6175,"DATA; Data Scientist- Onsite, OKC (SQL, Python, R)",Addison Group,"The Village, OK",,,
6176,Senior Data Analyst I,Continental Resources,"Oklahoma City, OK",,,
6178,Senior Business Reporting & Data Analyst,Discover Financial Services,United States,,,
6185,"Senior Data Analyst - Part-Time, Alpha - an EDU Startup ...",Crossover,United States,,,
6186,Senior Data Analyst - Transportation Optimization,Walmart,"Bentonville, AR",,,
6190,Senior Data Analyst (Transportation Optimization) -3,Walmart,"Bentonville, AR",,,
6195,Analytics Engineer,ArcBest Technologies,"Fort Smith, AR",,,
6200,Data Engineer,Deckers Brands,United States,,,
6201,Principal Data Scientist,Walmart,"Bentonville, AR",,,
6203,Data Analyst,Insight Global,Oklahoma,43000.0,39000.0,47000.0
6205,Entry Level Data Analyst,CCS Global Tech,United States,,,
6210,"""Data Analyst""",Enterprise Solutions Inc.,United States,,,
6221,Data Analyst,Apex Systems,United States,32.5,31.0,34.0
6235,Aftersales Parts Demand Data Analyst,Altair,United States,,,
6241,Data SME,LPX Group,United States,85.0,75.0,95.0
6244,Data Analyst,Cardinal Health,"Kansas City, MO",,,
6252,Data Analyst,Cardinal Health,"Kansas City, MO",,,
6261,Senior Supply Chain Data Analyst,CenterPoint Energy,United States,,,
6266,Data Analyst II,Centene Corporation,United States,,,
6267,Sustainability Senior Data Analyst,James Hardie,United States,,,
6270,Data Scientist,Koch Industries,"Wichita, KS",,,
6273,"Staff Data Scientist - Networks, Integration, & Automation (Kansas...",Burns & McDonnell,"Kansas City, MO",,,
6275,Data Scientist Intern - Technology Consulting (Kansas City),1898 & Co.,,,,
6278,Data Analyst 1,Optum,"Overland Park, KS",,,
6280,Data Analyst,Accenture,United States,,,
6289,Data Analyst - Harrisburg,"Pavone Marketing Group, Inc.",United States,52500.0,45000.0,60000.0
6305,Data Quality Analyst,JCW,United States,75000.0,70000.0,80000.0
6307,DATA ANALYST II,University of Missouri-Columbia,"Columbia, MO",,,
6308,MIDA Electronic Data Exchange Analyst.,State of Colorado,United States,,,
6311,Data Analyst(onsite),Diligente Technologies,United States,,,
6312,Data Analyst,"HeartLand, LLC",,,,
6316,"Analyst, Developer DW/BI",American Fidelity,"Oklahoma City, OK",,,
6320,Data Analyst,Apex Systems,United States,51.5,40.0,63.0
6324,Data Analyst,Inceed,"Overland Park, KS",,,
6327,Business Data Analyst,Addison Group,"Oklahoma City, OK",,,
6330,Associate Data Analyst,TruConnect,United States,,,
6333,Data Analyst,The Judge Group,United States,150000.0,140000.0,160000.0
6335,Sr. Data Analyst,EPSoft,United States,,,
6336,Senior Data Analyst,Jobot,United States,,,
6338,Health Data Analyst,Dobies Health Marketing,,,,
6341,Data Analyst with Azure environment at Atlanta NY Day 1 onsite,Dice,United States,,,
6343,REMOTE Data Analyst- (financial services),Jobot,United States,,,
6353,Data Engineer,SoftStandard Solutions,United States,,,
6354,Security & Data Governance Analyst,"Set Solutions, Inc.",United States,135000.0,125000.0,145000.0
6356,Data Specialist,NCM Associates,"Kansas City, MO",,,
6358,Sr Market Analyst- Data & Analytics,IDC,United States,,,
6364,"DATA; Data Scientist- Onsite, OKC (SQL, Python, R)",Addison Group,"The Village, OK",,,
6366,Data Analyst - Threat Lab,Integral Ad Science,United States,,,
6368,Audit Sr. Data Analyst,American Fidelity,"Oklahoma City, OK",,,
6373,"Consultant, Delivery Leader - Data Analytics Organization",Nationwide,United States,,,
6375,Full time / Data Analyst,Leo,"Fort Smith, AR",,,
6385,Data Analyst,Avison Young,United States,,,
6388,Data Analyst,The Ash Group,United States,,,
6390,Business Data Analyst,Addison Group,"Oklahoma City, OK",,,
6391,Data Analyst,CNA Insurance,United States,,,
6392,Junior Data Analyst (Part Time),Tandym Group,United States,,,
6404,Data Analyst - Healthcare Analytics,Analytic Recruiting Inc.,United States,85500.0,76000.0,95000.0
6406,Senior Data Analyst,ExaTech Inc,United States,,,
6414,Broadband Funding and GIS/Data Analyst,"Conexon, LLC","Kansas City, MO",,,
6415,Stategy Analyst (Data),Addison Group,"Tulsa, OK",,,
6420,Informatics Data Governance Analyst Lead,Florida Cancer Specialists & Research Institute,United States,,,
6430,Customer Insights Data Analyst,WelcomeHome Software,United States,,,
6432,Informatics Quality Assurance Data Analyst,Florida Cancer Specialists & Research Institute,United States,,,
6439,Sr. Analyst - Business Analytics,Ally,United States,,,
6441,Data Analyst (Risk Adjustment Consulting Research Analyst),Cambia Health Solutions,United States,,,
6442,"Big Data Lead (Spark, Scala, Kafka, Airflow, NiFi, Snowflake, AWS)",SYSMIND,United States,,,
6443,Data Analyst,TEK NINJAS,United States,,,
6444,"Data Scientist, Data Science Strategic Insights",GoHealth,United States,,,
6445,Lead Data Analyst,Laka & Company,"Bentonville, AR",120000.0,100000.0,140000.0
6446,Data Analyst,American Technology Consulting - ATC,United States,,,
6447,Senior Data Analyst - Cox Communities,Cox Communications,"Springdale, AR",,,
6448,"Sr. Financial Data Analytics, Reporting Analyst",Cochlear,United States,,,
6449,Data Processor I,"Management Science Associates, Inc.",United States,,,
6450,HEALTH POLICY ANALYST II (Data & Evaluation Specialist) REPOST...,State of Maryland,United States,,,
6451,Senior Business Intelligence Analyst - R3574-2603,"Chickasaw Nation Industries, Inc.","Lone Grove, OK",,,
6452,Quotation Analyst,ArcBest,"Fort Smith, AR",,,
6453,Business Intelligence Data Analyst,Acumed,United States,,,
6454,Audit Sr. Data Analyst,American Fidelity,"Oklahoma City, OK",,,
6455,Data Onboarding Analyst,S&P Global,United States,,,
6456,Data and Reporting Analyst,H&R Block,United States,,,
6457,Senior Procurement Analyst,Mimecast,United States,,,
6458,Data Analytics Project Lead-Hybrid,Honeywell,"Overland Park, KS",,,
6459,Research/Data Analyst,State of Missouri,"Jefferson City, MO",,,
6460,Junior Data Analyst,SynergisticIT,United States,,,
6461,Senior Data Analyst / Platform Experience,Atria Wealth Solutions,United States,,,
6462,Compliance Data Analyst and Reporting Lead,BMO US,United States,,,
6463,SalesForce Data Analyst,Proven Recruiting,United States,,,
6464,Data Operations Analyst,Epiq,"Overland Park, KS",,,
6465,Data Analyst,Inceed,"Oklahoma City, OK",,,
6466,Lead Healthcare Data Modeler,Perficient,Missouri,,,
6467,Data Analyst II,ALTEN,United States,,,
6468,Data Analyst II,ALTEN,United States,,,
6469,Undergraduate Data Analyst Intern,Ecolab,United States,,,
6470,Undergraduate Data Analyst Intern,Ecolab,United States,,,
6471,Transportation Accountant Data Analyst,Cargill,"Wichita, KS",,,
6472,Senior Data Analyst,Walmart,"Bentonville, AR",,,
6473,Senior Data Analyst,Walmart,"Bentonville, AR",,,
6474,Data Scientist,Addison Group,"The Village, OK",,,
6475,Data Scientist,Addison Group,"The Village, OK",,,
6476,Stategy Analyst (Data),Addison Group,"Tulsa, OK",,,
6477,Data Analytics Security Manager,Cardinal Health,"Jefferson City, MO",,,
6478,Business Information Analyst Senior,Elevance Health,United States,,,
6479,Business Information Analyst Senior,Elevance Health,United States,,,
6480,Analytics Consultant,The Judge Group,United States,47.5,40.0,55.0
6481,Data Analyst,Aureon Consulting,United States,,,
6482,Data Analyst,Aureon Consulting,United States,,,
6483,Data Analyst I (Healthcare Analytics),Centene Corporation,United States,,,
6484,Data Analyst - Threat Lab,Integral Ad Science,United States,,,
6485,Data Analyst - Threat Lab,Integral Ad Science,United States,,,
6486,Master Data Analyst - Safety,Bunzl Distribution NA,United States,,,
6487,Master Data Analyst - Safety,Bunzl Distribution NA,United States,,,
6488,Benefits Analyst,NTT Global Data Centers,United States,,,
6489,Payroll Analyst,NTT Global Data Centers,United States,,,
6490,Data Specialist,"CJR Construction Group, LLC","Kansas City, MO",,,
6491,Data Specialist,"CJR Construction Group, LLC","Kansas City, MO",,,
6492,DATA ANALYST II,University of Missouri-Columbia,"Columbia, MO",,,
6493,DATA ANALYST II,University of Missouri-Columbia,"Columbia, MO",,,
6494,Street Homeless Solutions Data Analyst,NYC Department of Social Services,"All, MO",74197.0,58695.0,89699.0
6495,Street Homeless Solutions Data Analyst,NYC Department of Social Services,"All, MO",74197.0,58695.0,89699.0
6496,Street Homeless Solutions Data Analyst,NYC Department of Social Services,"All, MO",74197.0,58695.0,89699.0
6497,Data and Reporting Analyst,Americo Financial Life and Annuity,"Kansas City, MO",,,
6498,Data and Reporting Analyst,Americo Financial Life and Annuity,"Kansas City, MO",,,
6686,Business Data Analyst,Addison Group,"Oklahoma City, OK",,,
6696,Data Analyst - Sr- Fayetteville,University of Arkansas,"Fayetteville, AR",,,
6699,Data Analyst-Financial Services,"Recruiting Resources, Inc.",United States,105000.0,95000.0,115000.0
6700,Data Analyst IV,On-Demand Group,United States,,,
6707,AML BSA Data Analyst,Numentica LLC,United States,,,
6709,Global Budget Data Analyst,HireTalent - Diversity Staffing & Recruiting Firm,United States,,,
6711,Stategy Analyst (Data),Addison Group,"Tulsa, OK",,,
6712,ADMINISTRATOR II Infectious Disease Data Analyst Lead,State of Maryland,United States,,,
6715,Data Engineer,SoftStandard Solutions,United States,,,
6716,Data & Analytics Sr. Practitioner,Iris Software Inc.,United States,,,
6718,Business Intelligence Analyst (BI),KPMG Canada,United States,,,
6721,Data Engineer-Global High Growth Firm!,"Recruiting Resources, Inc.",United States,105000.0,95000.0,115000.0
6724,Business Intelligence Data Analyst,Acumed,United States,,,
6725,Senior Data Analyst Manager,Tyson Foods,"Springdale, AR",,,
6726,Senior Data Analyst I,Continental Resources,"Oklahoma City, OK",,,
6731,Sr. SAP Data Analyst (Hybrid),LAVORO,United States,107500.0,105000.0,110000.0
6734,Business Intelligence Analyst,MGP Ingredients,"Atchison, KS",,,
6739,Data Analyst,American Technology Consulting - ATC,United States,,,
6744,Business Intelligence Data Analyst,Kore 4,United States,,,
6750,Junior level data scientists,SynergisticIT,United States,,,
6761,Data Analyst(onsite),Diligente Technologies,United States,,,
6765,"Senior Data Analyst - Part-Time, Alpha - an EDU Startup ...",Crossover,"Kansas City, KS",,,
6766,"Senior Data Analyst - Part-Time, Alpha - an EDU Startup ...",Crossover,United States,,,
6769,"Analyst, Business Intelligence",Pernod Ricard,United States,,,
6772,Business Data Analyst I,DHL Supply Chain,United States,,,
6773,Market Data Analyst,Engtal,United States,160000.0,150000.0,170000.0
6774,Market Data Analyst,Engtal,United States,200000.0,180000.0,220000.0
6775,COOP - Data Analyst,COOP by Ryder™,United States,,,
6778,"Senior Associate, Data Analyst",KPMG US,"Kansas City, MO",,,
6780,Data Analyst,American Technology Consulting - ATC,United States,,,
6781,"(USA) Senior Manager I, Data Analytics",Walmart,"Bentonville, AR",,,
6786,Data Analyst,ClearpointCo,United States,35.0,,
6788,Data Analyst,"Integrated Resources, Inc ( IRI )",United States,,,
6790,Business Data Analyst,Addison Group,"Oklahoma City, OK",,,
6800,Senior Data Analyst,Point32Health,United States,,,
6805,Senior Business Data Analyst (SQL),CVS Health,United States,135000.0,90000.0,180000.0
6807,Data Analyst - Contract,CRG,United States,50.0,,
6810,"Senior Data Analyst - Part-Time, Alpha - an EDU Startup ...",Crossover,"Kansas City, KS",,,
6811,Human Resources Data Analyst I,Cherokee Nation,"Tahlequah, OK",,,
6813,Marketing Data Analyst and Research,SF Fire Credit Union,United States,,,
6823,Data Analyst,SDG Group USA,United States,,,
6832,Amazon Data Analyst - Flexible(Remote) Work Location,DSM,"Home, KS",,,
6833,Data Analyst,Insight Global,United States,62.5,60.0,65.0
6835,Junior Data Analyst,Staffigo,"Broken Arrow, OK",,,
6836,Junior Data Analyst,Dextera Corporation,United States,,,
6837,"Senior Associate, Data Analyst",KPMG US,"Oklahoma City, OK",,,
6840,Splunk/Data Admin Analyst Sr,Elevance Health,"Denison, TX",,,
6842,Data Analyst II/III,Williams,"Tulsa, OK",,,
6843,Data Analyst,Univision,United States,,,
6846,Data Analyst (Managed Services Consultant),"DB&A - DeWolff, Boberg & Associates, Inc","Oklahoma City, OK",,,
6847,Director - Data Analyst #LI-Remote,Transaction Network Services,"Kansas City, KS",,,
6849,Director - Data Analyst #LI-Remote,Transaction Network Services,"Oklahoma City, OK",,,
6852,Assoc Enterprise Data Analyst,"Blue Cross and Blue Shield of Illinois, Montana, New Mexico, Oklahoma & Texas",United States,,,
6853,Business Analyst ( Marketing Data Communications ),"ICS, A Korn Ferry company",United States,,,
6862,Research Data Analyst - ESP0093,State of Missouri,"Jefferson City, MO",,,
6863,Data Analyst-Parts,Textron Aviation,"Wichita, KS",,,
6865,Data Analyst,Apexon,United States,,,
6867,Senior Data Analyst,Bayer,"Kansas City, MO",,,
6868,Senior Data Analyst,Bayer,"Kansas City, MO",,,
6874,Associate Research/Data Analyst,State of Missouri,"Jefferson City, MO",,,
6877,Data Analyst- Fortify,UVA Health,United States,,,
6878,Jr. Financial/Data Analyst,eTeam,United States,,,
6881,Senior Data Analyst,Customers Bank,United States,,,
6882,Fuel Data Analyst,Love's Travel Stops,"Oklahoma City, OK",,,
6887,Data Analyst II/ III,Jobot,"Tulsa, OK",,,
6889,Data Analyst Intern,American Fidelity,"Oklahoma City, OK",,,
6894,Business Analyst/Data Analyst(Banking or Finance ) ||Tampa FL...,Nityo Infotech,United States,,,
6916,Lead Data Science Analyst,Discover Financial Services,"Home, KS",,,
6920,Power BI - Financial Analyst,White Cap,United States,,,
6936,Business Data Analyst,Addison Group,"Oklahoma City, OK",,,
6944,Senior Data Analyst-(6 months),Confidential,United States,,,
6950,Marketing Data Analyst,Mathis Home,"Oklahoma City, OK",,,
6951,Business Data Analyst/Business Systems Analyst,RELQ TECHNOLOGIES,United States,,,
6959,Data Analytics Consultant,Blue Ocean Ventures,United States,,,
6972,Data Governance Analyst,Honeywell,"Kansas City, MO",,,
6974,Lead Data Science Analyst,Discover Financial Services,"Mountain Home, AR",,,
6975,Data Analyst Co-Op,Canada Life,United States,,,
6976,Sr Data Governance Analyst,Honeywell,"Overland Park, KS",,,
6980,"Staff Data Scientist - Networks, Integration, & Automation (Kansas...",Burns & McDonnell,"Kansas City, MO",,,
6983,Data Scientist Intern - Technology Consulting (Kansas City),1898 & Co.,,,,
6989,Lead Data Science Analyst,Discover Financial Services,"New Home, MO",,,
6997,Data Analyst I,Horizontal Talent,United States,,,
7004,Senior Data Analyst,System Soft Technologies,Oklahoma,,,
7007,GA DPH - Informatics Data Analyst II,Trinity Envision Business Services,United States,,,
7008,Business Consultant (Data Analysis),Elevance Health,United States,,,
7011,ADMINISTRATOR II WDQI DATA ANALYST,State of Maryland,United States,,,
7016,Data Scientist Technical Specialist,Peraton,United States,,,
7019,Senior Data Analyst,Optoro,United States,,,
7025,Data Quality Analyst,Tyson Foods,"Springdale, AR",,,
7026,Senior Data Analysis Manager - Data Integrity & Complaints Oversight,TD,United States,,,
7028,Business Intelligence Analyst 3,"ALTA IT Services, LLC",United States,,,
7029,"Director, Data Enablement Strategy & Analytics",SelectQuote Insurance Services,"Overland Park, KS",,,
7034,Data Analyst III - Healthcare,Qlarant,United States,,,
7037,"Business Analyst/ Data Analyst || Tampa, FL || Fulltime || Synechron",Nityo Infotech,United States,,,
7040,Amazon Data Analyst - Flexible(Remote) Work Location,DSM,United States,,,
7043,Legal Data Analyst,QTS Data Centers,"Overland Park, KS",,,
7048,"Analyst, HR Data",T-Mobile,"Overland Park, KS",,,
7053,Data Analyst,American Technology Consulting - ATC,United States,,,
7055,Data Analyst,American Technology Consulting - ATC,United States,,,
7059,Lead Data Science Analyst,Discover Financial Services,"Mountain Home, AR",,,
7069,Data Analyst UM Evaluations,Gainwell Technologies,United States,,,
7071,Sr. Business Data Analyst-State Tax,Koch Industries,"Wichita, KS",,,
7072,Data Migration Analyst,Tata Consultancy Services,"Topeka, KS",,,
7073,Lead Data Science Analyst,Discover Financial Services,"Home, KS",,,
7074,Business Intelligence Analyst,Empowered,"Wichita, KS",,,
7075,Senior Data Analyst (Transportation Optimization) -3,Walmart,"Bentonville, AR",,,
7076,(USA) Principal Data Analyst - Investigative Risk and Operational...,Walmart,"Bentonville, AR",,,
7077,"Senior Manager I, Business Support - W+ Data Analytics and Reporting",Walmart,"Bentonville, AR",,,
7078,"Enterprise Data Leader, ERP (Director/Sr. Director)",BioSpace,"Home, KS",,,
7092,Research Data Analyst - ESP0093,State of Missouri,"Jefferson City, MO",,,
7093,Data Analyst (Managed Services Consultant),"DB&A - DeWolff, Boberg & Associates, Inc","Oklahoma City, OK",,,
7094,Director - Data Analyst #LI-Remote,Transaction Network Services,"Kansas City, KS",,,
7097,Data Integration Analyst,Gainwell Technologies,United States,,,
7098,Sr Data Governance Analyst,Honeywell,"Kansas City, MO",,,
7100,Data Analyst I,Kelly,"Overland Park, KS",,,
